period,buy_threshold,sell_threshold,performance
7,20,60,0
7,20,65,0
7,20,70,0
7,20,75,0
7,20,80,0
7,25,60,0
7,25,65,0
7,25,70,0
7,25,75,0
7,25,80,0
7,30,60,0
7,30,65,0
7,30,70,0
7,30,75,0
7,30,80,0
7,35,60,0
7,35,65,0
7,35,70,0
7,35,75,0
7,35,80,0
8,20,60,0
8,20,65,0
8,20,70,0
8,20,75,0
8,20,80,0
8,25,60,0
8,25,65,0
8,25,70,0
8,25,75,0
8,25,80,0
8,30,60,0
8,30,65,0
8,30,70,0
8,30,75,0
8,30,80,0
8,35,60,0
8,35,65,0
8,35,70,0
8,35,75,0
8,35,80,0
9,20,60,0
9,20,65,0
9,20,70,0
9,20,75,0
9,20,80,0
9,25,60,0
9,25,65,0
9,25,70,0
9,25,75,0
9,25,80,0
9,30,60,0
9,30,65,0
9,30,70,0
9,30,75,0
9,30,80,0
9,35,60,0
9,35,65,0
9,35,70,0
9,35,75,0
9,35,80,0
10,20,60,0
10,20,65,0
10,20,70,0
10,20,75,0
10,20,80,0
10,25,60,0
10,25,65,0
10,25,70,0
10,25,75,0
10,25,80,0
10,30,60,0
10,30,65,0
10,30,70,0
10,30,75,0
10,30,80,0
10,35,60,0
10,35,65,0
10,35,70,0
10,35,75,0
10,35,80,0
11,20,60,0
11,20,65,0
11,20,70,0
11,20,75,0
11,20,80,0
11,25,60,0
11,25,65,0
11,25,70,0
11,25,75,0
11,25,80,0
11,30,60,0
11,30,65,0
11,30,70,0
11,30,75,0
11,30,80,0
11,35,60,0
11,35,65,0
11,35,70,0
11,35,75,0
11,35,80,0
12,20,60,0
12,20,65,0
12,20,70,0
12,20,75,0
12,20,80,0
12,25,60,0
12,25,65,0
12,25,70,0
12,25,75,0
12,25,80,0
12,30,60,0
12,30,65,0
12,30,70,0
12,30,75,0
12,30,80,0
12,35,60,0
12,35,65,0
12,35,70,0
12,35,75,0
12,35,80,0
13,20,60,0
13,20,65,0
13,20,70,0
13,20,75,0
13,20,80,0
13,25,60,0
13,25,65,0
13,25,70,0
13,25,75,0
13,25,80,0
13,30,60,0
13,30,65,0
13,30,70,0
13,30,75,0
13,30,80,0
13,35,60,0
13,35,65,0
13,35,70,0
13,35,75,0
13,35,80,0
14,20,60,0
14,20,65,0
14,20,70,0
14,20,75,0
14,20,80,0
14,25,60,0
14,25,65,0
14,25,70,0
14,25,75,0
14,25,80,0
14,30,60,0
14,30,65,0
14,30,70,0
14,30,75,0
14,30,80,0
14,35,60,0
14,35,65,0
14,35,70,0
14,35,75,0
14,35,80,0
15,20,60,0
15,20,65,0
15,20,70,0
15,20,75,0
15,20,80,0
15,25,60,0
15,25,65,0
15,25,70,0
15,25,75,0
15,25,80,0
15,30,60,0
15,30,65,0
15,30,70,0
15,30,75,0
15,30,80,0
15,35,60,0
15,35,65,0
15,35,70,0
15,35,75,0
15,35,80,0
16,20,60,0
16,20,65,0
16,20,70,0
16,20,75,0
16,20,80,0
16,25,60,0
16,25,65,0
16,25,70,0
16,25,75,0
16,25,80,0
16,30,60,0
16,30,65,0
16,30,70,0
16,30,75,0
16,30,80,0
16,35,60,0
16,35,65,0
16,35,70,0
16,35,75,0
16,35,80,0
17,20,60,0
17,20,65,0
17,20,70,0
17,20,75,0
17,20,80,0
17,25,60,0
17,25,65,0
17,25,70,0
17,25,75,0
17,25,80,0
17,30,60,0
17,30,65,0
17,30,70,0
17,30,75,0
17,30,80,0
17,35,60,0
17,35,65,0
17,35,70,0
17,35,75,0
17,35,80,0
18,20,60,0
18,20,65,0
18,20,70,0
18,20,75,0
18,20,80,0
18,25,60,0
18,25,65,0
18,25,70,0
18,25,75,0
18,25,80,0
18,30,60,0
18,30,65,0
18,30,70,0
18,30,75,0
18,30,80,0
18,35,60,0
18,35,65,0
18,35,70,0
18,35,75,0
18,35,80,0
19,20,60,0
19,20,65,0
19,20,70,0
19,20,75,0
19,20,80,0
19,25,60,0
19,25,65,0
19,25,70,0
19,25,75,0
19,25,80,0
19,30,60,0
19,30,65,0
19,30,70,0
19,30,75,0
19,30,80,0
19,35,60,0
19,35,65,0
19,35,70,0
19,35,75,0
19,35,80,0
20,20,60,0
20,20,65,0
20,20,70,0
20,20,75,0
20,20,80,0
20,25,60,0
20,25,65,0
20,25,70,0
20,25,75,0
20,25,80,0
20,30,60,0
20,30,65,0
20,30,70,0
20,30,75,0
20,30,80,0
20,35,60,0
20,35,65,0
20,35,70,0
20,35,75,0
20,35,80,0
21,20,60,0
21,20,65,0
21,20,70,0
21,20,75,0
21,20,80,0
21,25,60,0
21,25,65,0
21,25,70,0
21,25,75,0
21,25,80,0
21,30,60,0
21,30,65,0
21,30,70,0
21,30,75,0
21,30,80,0
21,35,60,0
21,35,65,0
21,35,70,0
21,35,75,0
21,35,80,0
22,20,60,0
22,20,65,0
22,20,70,0
22,20,75,0
22,20,80,0
22,25,60,0
22,25,65,0
22,25,70,0
22,25,75,0
22,25,80,0
22,30,60,0
22,30,65,0
22,30,70,0
22,30,75,0
22,30,80,0
22,35,60,0
22,35,65,0
22,35,70,0
22,35,75,0
22,35,80,0
23,20,60,0
23,20,65,0
23,20,70,0
23,20,75,0
23,20,80,0
23,25,60,0
23,25,65,0
23,25,70,0
23,25,75,0
23,25,80,0
23,30,60,0
23,30,65,0
23,30,70,0
23,30,75,0
23,30,80,0
23,35,60,0
23,35,65,0
23,35,70,0
23,35,75,0
23,35,80,0
24,20,60,0
24,20,65,0
24,20,70,0
24,20,75,0
24,20,80,0
24,25,60,0
24,25,65,0
24,25,70,0
24,25,75,0
24,25,80,0
24,30,60,0
24,30,65,0
24,30,70,0
24,30,75,0
24,30,80,0
24,35,60,0
24,35,65,0
24,35,70,0
24,35,75,0
24,35,80,0
25,20,60,0
25,20,65,0
25,20,70,0
25,20,75,0
25,20,80,0
25,25,60,0
25,25,65,0
25,25,70,0
25,25,75,0
25,25,80,0
25,30,60,0
25,30,65,0
25,30,70,0
25,30,75,0
25,30,80,0
25,35,60,0
25,35,65,0
25,35,70,0
25,35,75,0
25,35,80,0
26,20,60,0
26,20,65,0
26,20,70,0
26,20,75,0
26,20,80,0
26,25,60,0
26,25,65,0
26,25,70,0
26,25,75,0
26,25,80,0
26,30,60,0
26,30,65,0
26,30,70,0
26,30,75,0
26,30,80,0
26,35,60,0
26,35,65,0
26,35,70,0
26,35,75,0
26,35,80,0
27,20,60,0
27,20,65,0
27,20,70,0
27,20,75,0
27,20,80,0
27,25,60,0
27,25,65,0
27,25,70,0
27,25,75,0
27,25,80,0
27,30,60,0
27,30,65,0
27,30,70,0
27,30,75,0
27,30,80,0
27,35,60,0
27,35,65,0
27,35,70,0
27,35,75,0
27,35,80,0
28,20,60,0
28,20,65,0
28,20,70,0
28,20,75,0
28,20,80,0
28,25,60,0
28,25,65,0
28,25,70,0
28,25,75,0
28,25,80,0
28,30,60,0
28,30,65,0
28,30,70,0
28,30,75,0
28,30,80,0
28,35,60,0
28,35,65,0
28,35,70,0
28,35,75,0
28,35,80,0
29,20,60,0
29,20,65,0
29,20,70,0
29,20,75,0
29,20,80,0
29,25,60,0
29,25,65,0
29,25,70,0
29,25,75,0
29,25,80,0
29,30,60,0
29,30,65,0
29,30,70,0
29,30,75,0
29,30,80,0
29,35,60,0
29,35,65,0
29,35,70,0
29,35,75,0
29,35,80,0
